id,question,answer,legal_reference
1,أنا استعملت حقي بشكل عادي وده سبب ضرر لحد، هل أتحاسب؟,لو استعمال الحق كان استعمالًا مشروعًا، فالشخص لا يكون مسؤولًا عن الضرر الناتج عنه.,مادة 4
2,جاري بيستعمل حقه بس واضح إنه قاصد يضرني، هل ده قانوني؟,استعمال الحق يكون غير مشروع لو الهدف منه الإضرار بالغير فقط، أو لو المصلحة قليلة جدًا مقارنة بالضرر، أو لو المصلحة غير مشروعة.,مادة 5
3,مفيش نص قانوني واضح ينطبق على مشكلتي، القاضي يعمل إيه؟,لو مفيش نص تشريعي، القاضي يحكم بالعرف، ولو مفيش عرف فبمبادئ الشريعة الإسلامية، ولو مفيش فبمبادئ القانون الطبيعي وقواعد العدالة.,مادة 1
4,أنا عندي 20 سنة، هل أعتبر كامل الأهلية للتصرفات المدنية؟,سن الرشد هو 21 سنة ميلادية كاملة، فقبلها لا يكون الشخص كامل الأهلية إلا في الحدود التي يقررها القانون.,مادة 44
5,طفل عمره 6 سنين عمل تصرف قانوني، هل يعتبر فاهم قانونًا؟,كل من لم يبلغ السابعة يعتبر فاقدًا للتمييز، ولا يكون أهلًا لمباشرة حقوقه المدنية.,مادة 45
6,شخص استخدم اسمي من غير حق، أقدر أعمل إيه؟,يجوز طلب وقف الاعتداء على الاسم، مع التعويض عن الضرر إن وجد.,مادة 51
7,حد اعتدى على حق من حقوقي الشخصية، هل أقدر أطلب تعويض؟,من وقع عليه اعتداء غير مشروع على حق من الحقوق الملازمة لشخصيته يحق له طلب وقف الاعتداء والتعويض.,مادة 50
8,اتفقت مع شخص شفهيًا على عقد، هل العقد ممكن يكون صحيح؟,التعبير عن الإرادة قد يكون باللفظ أو الكتابة أو الإشارة أو موقف واضح، وقد يكون ضمنيًا إذا لم يشترط القانون أو الطرفان أن يكون صريحًا.,مادة 90
9,إمتى العقد يعتبر اتكون أصلًا؟,العقد يتم بمجرد تبادل طرفين التعبير عن إرادتين متطابقتين، مع مراعاة أي أوضاع خاصة يقررها القانون.,مادة 89
10,عرضت على شخص عرض وقلت له يرد خلال أسبوع، هل أقدر أرجع قبل الأسبوع؟,إذا عُين ميعاد للقبول، يلتزم الموجب بالبقاء على إيجابه إلى أن ينقضي هذا الميعاد.,مادة 93
11,قبلت العرض لكن زودت شرط جديد، هل ده قبول؟,القبول الذي يزيد أو يقيد أو يعدل في الإيجاب يعتبر رفضًا يتضمن إيجابًا جديدًا.,مادة 96
12,لو حد سكت على عرضي، هل سكوته يعتبر قبول؟,الأصل لا، لكن السكوت قد يعتبر قبولًا إذا كان هناك تعامل سابق بين الطرفين واتصل الإيجاب بهذا التعامل، أو إذا كان الإيجاب لمصلحة من وُجه إليه فقط.,مادة 98
13,أنا وقعت على عقد بشروط جاهزة ومقدرتش أناقشها، ده اسمه إيه؟,هذا يدخل في عقود الإذعان، حيث يقتصر القبول على التسليم بشروط يضعها الموجب ولا تقبل المناقشة.,مادة 100
14,اتفقنا نعمل عقد في المستقبل، هل الاتفاق ده ملزم؟,الوعد بإبرام عقد مستقبلًا لا ينعقد إلا إذا حُددت المسائل الجوهرية للعقد والمدة التي يجب إبرامه فيها.,مادة 101
15,اتخدعت في عقد، هل أقدر أبطله؟,يجوز إبطال العقد للتدليس إذا كانت الحيل جسيمة بحيث لولاها لما أبرم الطرف الآخر العقد.,مادة 125
16,عقد اتعمل لسبب مخالف للنظام العام أو الآداب، حكمه إيه؟,إذا لم يكن للالتزام سبب، أو كان سببه مخالفًا للنظام العام أو الآداب، كان العقد باطلًا.,مادة 136
17,عرفت إن العقد قابل للإبطال، هل حقي في الإبطال مفتوح للأبد؟,الحق في إبطال العقد يسقط إذا لم يتمسك به صاحبه خلال ثلاث سنوات، مع اختلاف بداية المدة حسب سبب الإبطال.,مادة 140
18,الطرف التاني عايز يغير العقد لوحده، هل ينفع؟,العقد شريعة المتعاقدين، فلا يجوز نقضه أو تعديله إلا باتفاق الطرفين أو للأسباب التي يقررها القانون.,مادة 147
19,الطرف الآخر بينفذ العقد بطريقة ملتوية رغم إن النص مش مانع صراحة، أقدر أتمسك بحسن النية؟,يجب تنفيذ العقد طبقًا لما اشتمل عليه وبطريقة تتفق مع ما يوجبه حسن النية.,مادة 148
20,في بند واضح جدًا في العقد، هل ينفع المحكمة تفسره بعكس معناه؟,إذا كانت عبارة العقد واضحة، فلا يجوز الانحراف عنها عن طريق التفسير للتعرف على إرادة المتعاقدين.,مادة 150
21,الطرف الآخر لم ينفذ التزامه في عقد ملزم للطرفين، أعمل إيه؟,يجوز للطرف الآخر، بعد إعذار المدين، أن يطالب بتنفيذ العقد أو بفسخه، مع التعويض إن كان له مقتضى.,مادة 157
22,شخص غلطته سببتلي ضرر، هل يلتزم بتعويضي؟,كل خطأ سبب ضررًا للغير يلزم من ارتكبه بالتعويض.,مادة 163
23,اتضررت من فعل غير مشروع، عندي قد إيه وقت أرفع دعوى تعويض؟,دعوى التعويض عن العمل غير المشروع تسقط بثلاث سنوات من يوم علم المضرور بالضرر وبالشخص المسؤول، وتسقط في كل حال بمرور خمس عشرة سنة.,مادة 172
24,مبنى وقع وسبب ضرر، المسؤول مين؟,حارس البناء مسؤول عن الضرر الناتج عن انهيار البناء كليًا أو جزئيًا، إلا إذا أثبت سببًا ينفي مسؤوليته وفق النص.,مادة 177
25,آلة أو شيء محتاج حراسة خاصة تسبب في ضرر، هل الحارس مسؤول؟,من يتولى حراسة أشياء تتطلب عناية خاصة أو آلات ميكانيكية يكون مسؤولًا عما تحدثه من ضرر، إلا إذا أثبت سببًا أجنبيًا لا يد له فيه.,مادة 178
26,حد استفاد على حسابي من غير سبب قانوني، أقدر أطلب تعويض؟,كل شخص يثري دون سبب مشروع على حساب شخص آخر يلتزم، في حدود ما أثرى به، بتعويض من لحقته الخسارة.,مادة 179
27,دفعت فلوس لشخص وطلعت مش مستحقة، أقدر أستردها؟,من تسلم على سبيل الوفاء ما ليس مستحقًا له يجب عليه رده، مع وجود استثناءات واردة في النص.,مادة 181
28,أنا مستأجر والشقة مش صالحة للانتفاع المتفق عليه، أقدر أفسخ؟,إذا سُلمت العين المؤجرة في حالة لا تصلح للانتفاع المقصود أو نقص الانتفاع نقصًا كبيرًا، يجوز للمستأجر طلب فسخ العقد أو إنقاص الأجرة.,مادة 565
29,المؤجر رافض يعمل الترميمات الضرورية، هل دي مسؤوليته؟,الأصل أن المؤجر يلتزم بصيانة العين المؤجرة وإجراء الترميمات الضرورية، ما عدا الترميمات التأجيرية.,مادة 567
30,العين المؤجرة فيها عيب كبير، هل أقدر أطلب تخفيض الإيجار؟,إذا وجد بالعين المؤجرة عيب يضمنه المؤجر، يجوز للمستأجر حسب الظروف طلب فسخ العقد أو إنقاص الأجرة أو إصلاح العيب.,مادتان 576 و577
