id,question,answer,legal_reference,direction,language
1,ما نص المادة 1 من القانون المدني المصري؟,)١ (تسرى النصوص التشريعية على جميع المسائل التي تتناولها هذه النصوص في لفظها أو في فحواها. (٢) فإذا لم يوجد نص تشريعي يمكن تطبيقه، حكم القاضي بمقتضى العرف، فإذا لم يوجد، فبمقتضى مبادئ الشريعة الإسلامية، فإذا لم يوجد فبمقتضى مبادئ القانون الطبيعي وقواعد العدالة .,مادة 1,forward,ar
2,What does Article 1 of the Egyptian Civil Code state?,"Provisions of laws govern all matters to which these provisions apply in letter or spirit. In the absence of a provision of a law that is applicable, the Judge will decide according to custom and in the absence of custom in accordance with the principles of Moslem Law. In the absence of such principles, the Judge will apply the principles of natural justice and the rules of equity.",Article 1,forward,en
3,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (تسرى النصوص التشريعية على جميع المسائل التي تتناولها هذه النصوص في لفظها أو في فحواها. (٢) فإذا لم يوجد نص تشريعي يمكن تطبيقه، حكم …»؟,المادة 1,مادة 1,reverse,ar
4,"In which article of the Egyptian Civil Code does the following text appear: ""Provisions of laws govern all matters to which these provisions apply in letter or spirit. In the absence of a provision of a law that is …""?",Article 1,Article 1,reverse,en
5,ما نص المادة 22 من القانون المدني المصري؟,يسري علي قواعد الاختصاص وجميع المسائل الخاصة بالإجراءات قانون البلد الذي تقام فيه الدعوى أو تباشر فيه الإجراءات.,مادة 22,forward,ar
6,What does Article 22 of the Egyptian Civil Code state?,"Principles of competence of courts and all questions of procedure are governed by the law of the country in which the action is brought, or in which the proceedings are taken.",Article 22,forward,en
7,في أي مادة من القانون المدني المصري ورد هذا النص: «يسري علي قواعد الاختصاص وجميع المسائل الخاصة بالإجراءات قانون البلد الذي تقام فيه الدعوى أو تباشر فيه الإجراءات.»؟,المادة 22,مادة 22,reverse,ar
8,"In which article of the Egyptian Civil Code does the following text appear: ""Principles of competence of courts and all questions of procedure are governed by the law of the country in which the action is brought, or …""?",Article 22,Article 22,reverse,en
9,ما نص المادة 43 من القانون المدني المصري؟,(١ (يجوز اتخاذ موطن مختار لتنفيذ عمل قانوني معين. (٢ (ولا يجوز إثبات وجود الموطن المختار إلا بالكتابة. (٣ (والموطن المختار لتنفيذ عمل قانوني يكون هو الموطن بالنسبة إلى كل ما يتعلق بهذا العمل، بما فى ذلك إجراءات التنفيذ الجبري ، إلا إذا اشترط صراحة قصر هذا الموطن على أعمال دون أخرى .,مادة 43,forward,ar
10,What does Article 43 of the Egyptian Civil Code state?,"A special domicile may be elected for the performance of a specific legal act. The election of domicile must be evidenced by writing. A domicile elected for the performance of a legal act shall be deemed to be the domicile in so far as all matters relating to such act are concerned, including the procedure for enforcement by legal means unless the election of domicile is expressly limited to certain special acts, excluding others.",Article 43,forward,en
11,في أي مادة من القانون المدني المصري ورد هذا النص: «(١ (يجوز اتخاذ موطن مختار لتنفيذ عمل قانوني معين. (٢ (ولا يجوز إثبات وجود الموطن المختار إلا بالكتابة. (٣ (والموطن المختار لتنفيذ عمل …»؟,المادة 43,مادة 43,reverse,ar
12,"In which article of the Egyptian Civil Code does the following text appear: ""A special domicile may be elected for the performance of a specific legal act. The election of domicile must be evidenced by writing. A …""?",Article 43,Article 43,reverse,en
13,ما نص المادة 91 من القانون المدني المصري؟,ينتج التعبير عن الإرادة أثره في الوقت الذي يتصل فيه بعلم من وجه إليه،,مادة 91,forward,ar
14,What does Article 91 of the Egyptian Civil Code state?,"A declaration of intention becomes effective from the ويعتبر وصول التعبير قرينة على العلم به ما لم يقم الدليل على عكس ذلك . time that it comes to the knowledge of the person for whom it was intended, who, subject to proof to the contrary, shall be deemed to have knowledge of the declaration of intention from the time that it reaches him.",Article 91,forward,en
15,في أي مادة من القانون المدني المصري ورد هذا النص: «ينتج التعبير عن الإرادة أثره في الوقت الذي يتصل فيه بعلم من وجه إليه،»؟,المادة 91,مادة 91,reverse,ar
16,"In which article of the Egyptian Civil Code does the following text appear: ""A declaration of intention becomes effective from the ويعتبر وصول التعبير قرينة على العلم به ما لم يقم الدليل على عكس ذلك . time that it …""?",Article 91,Article 91,reverse,en
17,ما نص المادة 112 من القانون المدني المصري؟,إذا بلغ الصبى المميز الثامنة عشرة من عمره واذن له فى تسلم أمواله لإدارتها ، أو تسلمها بحكم القانون ، كانت أعمال الادارة الصادرة منه صحيحة فى الحدود التى رسمها القانون.,مادة 112,forward,ar
18,What does Article 112 of the Egyptian Civil Code state?,"A minor possessing discretion, who has attained the age of eighteen years and has been authorized to take possession of his property in order to manage it, or has taken possession of his property by virtue of law, may validly perform acts of management within the limits of the law.",Article 112,forward,en
19,في أي مادة من القانون المدني المصري ورد هذا النص: «إذا بلغ الصبى المميز الثامنة عشرة من عمره واذن له فى تسلم أمواله لإدارتها ، أو تسلمها بحكم القانون ، كانت أعمال الادارة الصادرة منه صحيحة …»؟,المادة 112,مادة 112,reverse,ar
20,"In which article of the Egyptian Civil Code does the following text appear: ""A minor possessing discretion, who has attained the age of eighteen years and has been authorized to take possession of his property in …""?",Article 112,Article 112,reverse,en
21,ما نص المادة 134 من القانون المدني المصري؟,إذا كان محل الإلتزام نقودا ، التزم المدين بقدر عددها المذكور فى العقد دون أن يكون لارتفاع قيمة هذه النقود أو لانخفاضها وقت الوفاء أى أثر.,مادة 134,forward,ar
22,What does Article 134 of the Egyptian Civil Code state?,"When the object of an obligation is a sum of money, the debtor is bound only to the extent of the actual figure of the sum of money stated in the contract, whatever be the increase or decrease in the value of such money at the date of payment.",Article 134,forward,en
23,في أي مادة من القانون المدني المصري ورد هذا النص: «إذا كان محل الإلتزام نقودا ، التزم المدين بقدر عددها المذكور فى العقد دون أن يكون لارتفاع قيمة هذه النقود أو لانخفاضها وقت الوفاء أى أثر.»؟,المادة 134,مادة 134,reverse,ar
24,"In which article of the Egyptian Civil Code does the following text appear: ""When the object of an obligation is a sum of money, the debtor is bound only to the extent of the actual figure of the sum of money stated …""?",Article 134,Article 134,reverse,en
25,ما نص المادة 155 من القانون المدني المصري؟,( ١ ( يجوز للمشترط دون دائنيه أو ورثته أن ينقض المشارطة قبل أن يعلن المنتفع إلى المتعهد أو إلى المشترط رغبته فى الاستفادة منها ، ما لم يكن ذلك مخالفا لما يقتضيه العقد. )٢ (ولا يترتب على نقض المشارطة أن تبرأ ذمة المتعهد قبل المشترط. الا إذا اتفق صراحة أو ضمنا على خلاف ذلك وللمشترط إحلال منتفع آخر محل المنتفع الأول ، كما له أن يستأثر لنفسه بالانتفاع من المشارطة.,مادة 155,forward,ar
26,What does Article 155 of the Egyptian Civil Code state?,"The stipulator himself, but not his creditors or heirs, may revoke the stipulation for a third party, provided that the revocation is made before the beneficiary advises the debtor or the stipulator of his wish to have the benefit of the stipulation, and that the revocation is not contrary to the spirit of the contract. In the absence of any express or implied agreement to the contrary, the revocation does not liberate the debtor vis-a-vis the stipulator. The stipulator may substitute a new beneficiary in the place of the former beneficiary, or may retain for himself the benefit of the stipulation.",Article 155,forward,en
27,في أي مادة من القانون المدني المصري ورد هذا النص: «( ١ ( يجوز للمشترط دون دائنيه أو ورثته أن ينقض المشارطة قبل أن يعلن المنتفع إلى المتعهد أو إلى المشترط رغبته فى الاستفادة منها ، ما لم يكن …»؟,المادة 155,مادة 155,reverse,ar
28,"In which article of the Egyptian Civil Code does the following text appear: ""The stipulator himself, but not his creditors or heirs, may revoke the stipulation for a third party, provided that the revocation is made …""?",Article 155,Article 155,reverse,en
29,ما نص المادة 178 من القانون المدني المصري؟,كل من تولى حراسة أشياء تتطلب حراستها عناية خاصة أو حراسة آلات ميكانيكية يكون مسئولا عما تحدثه هذه الأشياء من ضرر ، ما لم يثبت أن وقوع الضرر كان بسبب أجنبى لا يد له فيه ، هذا مع عدم الإخلال بما يرد فى ذلك من أحكام خاصة.,مادة 178,forward,ar
30,What does Article 178 of the Egyptian Civil Code state?,"Whoever is in charge of a thing whose supervision requires special care, or of a machine, is liable for damage caused by it, unless he shows that the damage was due to a cause beyond his control, subject always to any special provision of the law in this respect.",Article 178,forward,en
31,في أي مادة من القانون المدني المصري ورد هذا النص: «كل من تولى حراسة أشياء تتطلب حراستها عناية خاصة أو حراسة آلات ميكانيكية يكون مسئولا عما تحدثه هذه الأشياء من ضرر ، ما لم يثبت أن وقوع الضرر …»؟,المادة 178,مادة 178,reverse,ar
32,"In which article of the Egyptian Civil Code does the following text appear: ""Whoever is in charge of a thing whose supervision requires special care, or of a machine, is liable for damage caused by it, unless he …""?",Article 178,Article 178,reverse,en
33,ما نص المادة 199 من القانون المدني المصري؟,)١ (ينفذ الإلتزام جبرا على المدين. )٢ (ومع ذلك إذا كان الإلتزام طبيعيا فلا جبر فى تنفيذه.,مادة 199,forward,ar
34,What does Article 199 of the Egyptian Civil Code state?,"An obligation is enforceable against the debtor. The performance of a natural obligation, however, cannot be enforced.",Article 199,forward,en
35,في أي مادة من القانون المدني المصري ورد هذا النص: «)١ (ينفذ الإلتزام جبرا على المدين. )٢ (ومع ذلك إذا كان الإلتزام طبيعيا فلا جبر فى تنفيذه.»؟,المادة 199,مادة 199,reverse,ar
36,"In which article of the Egyptian Civil Code does the following text appear: ""An obligation is enforceable against the debtor. The performance of a natural obligation, however, cannot be enforced.""?",Article 199,Article 199,reverse,en
37,ما نص المادة 220 من القانون المدني المصري؟,لا ضرورة لاعذار المدين فى الحالات الآتية : ( أ ) إذا اصبح تنفيذ الإلتزام غير ممكن أو كير مجد بفعل المدين. ( ب ) إذا كان محل الإلتزام تعويضا ترتب على عمل غير مشروع. ( ج ) إذا كان محل الإلتزام رد شئ يعلم المدين انه مسروق أو شئ تسلمه دون حق وهو عالم بذلك. ( د ) إذا صرح المدين كتابة انه لا يريد القيام بإلتزامه.,مادة 220,forward,ar
38,What does Article 220 of the Egyptian Civil Code state?,A formal summons to the debtor will not be necessary in the following cases: a) if the performance of the obligation becomes impossible or without interest by an act of the debtor; b) if the object of the obligation is the payment of damages in respect of an unlawful act; c) if the object of the obligation is the restitution of a thing that the debtor knew to have been stolen or of a thing that he received knowing that it was not due to him; d) if the debtor declares in writing that he does not intend to perform his obligation.,Article 220,forward,en
39,في أي مادة من القانون المدني المصري ورد هذا النص: «لا ضرورة لاعذار المدين فى الحالات الآتية : ( أ ) إذا اصبح تنفيذ الإلتزام غير ممكن أو كير مجد بفعل المدين. ( ب ) إذا كان محل الإلتزام تعويضا …»؟,المادة 220,مادة 220,reverse,ar
40,"In which article of the Egyptian Civil Code does the following text appear: ""A formal summons to the debtor will not be necessary in the following cases: a) if the performance of the obligation becomes impossible or …""?",Article 220,Article 220,reverse,en
41,ما نص المادة 241 من القانون المدني المصري؟,إذا كان من تلقي حقا من المدين المعسر لم يدفع ثمنه، فإنه يتخلص من الدعوى متي كان هذا الثمن هو ثمن المثل، وقام بإيداعه خزانة المحكمة.,مادة 241,forward,ar
42,What does Article 241 of the Egyptian Civil Code state?,"When a person acquires a right from an insolvent debtor but has not paid the price, he may escape the consequence of an action by a creditor, provided that the price corresponds to the normal price and he deposits this price in the Caisse du Tribunal.",Article 241,forward,en
43,في أي مادة من القانون المدني المصري ورد هذا النص: «إذا كان من تلقي حقا من المدين المعسر لم يدفع ثمنه، فإنه يتخلص من الدعوى متي كان هذا الثمن هو ثمن المثل، وقام بإيداعه خزانة المحكمة.»؟,المادة 241,مادة 241,reverse,ar
44,"In which article of the Egyptian Civil Code does the following text appear: ""When a person acquires a right from an insolvent debtor but has not paid the price, he may escape the consequence of an action by a …""?",Article 241,Article 241,reverse,en
45,ما نص المادة 262 من القانون المدني المصري؟,تنتهي حالة الاعسار بقوة القانون متي انقضت خمس سنوات علي تاريخ التأشير بالحكم الصادر بشهر الإعسار.,مادة 262,forward,ar
46,What does Article 262 of the Egyptian Civil Code state?,A state of insolvency automatically ceases upon the expiration of five years from the date on which the registration of the judgment declaring the insolvency was issued.,Article 262,forward,en
47,في أي مادة من القانون المدني المصري ورد هذا النص: «تنتهي حالة الاعسار بقوة القانون متي انقضت خمس سنوات علي تاريخ التأشير بالحكم الصادر بشهر الإعسار.»؟,المادة 262,مادة 262,reverse,ar
48,"In which article of the Egyptian Civil Code does the following text appear: ""A state of insolvency automatically ceases upon the expiration of five years from the date on which the registration of the judgment …""?",Article 262,Article 262,reverse,en
49,ما نص المادة 283 من القانون المدني المصري؟,(١ (كل ما يستوفيه أحد الدائنين المتضامنين من الدين يصير من حق الدائنين جميعا ويتحاصون فيه. (٢ (وتكون القسمة بينهم بالتساوي ، إلا إذا وجد اتفاق أو نص يقضي بغير ذلك.,مادة 283,forward,ar
50,What does Article 283 of the Egyptian Civil Code state?,That which a joint and several creditor receives on account of the debt reverts to all the creditors and will be divided between them proportionally. The division shall be made in equal parts if there is no agreement or provision of the law to the contrary.,Article 283,forward,en
51,في أي مادة من القانون المدني المصري ورد هذا النص: «(١ (كل ما يستوفيه أحد الدائنين المتضامنين من الدين يصير من حق الدائنين جميعا ويتحاصون فيه. (٢ (وتكون القسمة بينهم بالتساوي ، إلا إذا وجد …»؟,المادة 283,مادة 283,reverse,ar
52,"In which article of the Egyptian Civil Code does the following text appear: ""That which a joint and several creditor receives on account of the debt reverts to all the creditors and will be divided between them …""?",Article 283,Article 283,reverse,en
53,ما نص المادة 304 من القانون المدني المصري؟,لا تجوز حوالة الحق إلا بمقدار ما يكون منه قابلا للحجز.,مادة 304,forward,ar
