id,question,answer,legal_reference
1,أنا محامي وعندي عميل اتضرر من شخص استعمل حقه بطريقة واضحة إنها بقصد الإضرار بيه فقط، هل أقدر أطلب تعويض؟,نعم، إذا كان استعمال الحق لم يقصد به سوى الإضرار بالغير، فيُعد استعمالًا غير مشروع للحق. يمكن بحث المطالبة بوقف التصرف أو التعويض عن الضرر الناتج عنه.,مادة 5
2,عندي عميل مضى عقد، والطرف الآخر غير بند أساسي في القبول. هل العقد يعتبر تم ولا ده عرض جديد؟,إذا كان القبول يتضمن زيادة أو تقييدًا أو تعديلًا في الإيجاب، فلا يعتبر قبولًا مطابقًا، بل يُعد رفضًا للإيجاب الأصلي ويتضمن إيجابًا جديدًا.,مادة 96
3,أنا براجع موقف عقد بين طرفين، واتفقوا على المسائل الجوهرية وسابوا تفاصيل لبعدين. هل أقدر أعتبر العقد قائم؟,نعم، إذا اتفق الطرفان على المسائل الجوهرية وتركوا تفاصيل للاتفاق لاحقًا دون اشتراط عدم انعقاد العقد عند عدم الاتفاق عليها، فيُعتبر العقد منعقدًا.,مادة 95
4,عندي عميل وقع على عقد شروطه كلها جاهزة ومفيش تفاوض، وفيه شروط مجحفة عليه. إيه الحل القانوني؟,قد يُعد عقد إذعان. وإذا تضمنت الشروط تعسفًا، يمكن طلب تدخل القاضي لتعديلها أو إعفاء الطرف المذعن منها بحسب العدالة.,مادتان 100 و149
5,عميل عندي اتخدع في عقد، والطرف الآخر أخفى عنه معلومة جوهرية. هل أقدر أطلب إبطال العقد؟,نعم، إذا ثبت أن التدليس أو إخفاء الواقعة كان جسيمًا بحيث لولاه لما أبرم العميل العقد، فيجوز طلب إبطال العقد للتدليس.,مادة 125
6,عندي عقد والطرف الآخر لم ينفذ التزامه الأساسي. هل أطلب تنفيذ ولا فسخ ولا تعويض؟,في العقود الملزمة للجانبين، يجوز بعد إعذار المدين طلب تنفيذ العقد أو فسخه، مع التعويض إذا كان له مقتضى.,مادة 157
7,أنا محامي وعايز أعرف هل موكلي يقدر يمتنع عن تنفيذ التزامه لأن الطرف الآخر لم ينفذ التزامه المقابل؟,نعم، إذا كانت الالتزامات المتقابلة مستحقة الوفاء، يجوز لكل طرف الامتناع عن تنفيذ التزامه إذا لم ينفذ الطرف الآخر التزامه.,مادة 161
8,عندي عميل تضرر من خطأ شخص آخر، ومحتاج أحدد أساس دعوى التعويض. أستند لإيه؟,الأساس أن كل خطأ سبب ضررًا للغير يلزم من ارتكبه بالتعويض، مع إثبات الخطأ والضرر وعلاقة السببية.,مادة 163
9,موكلي اتضرر من فعل غير مشروع من 4 سنين، هل دعوى التعويض لسه ممكنة؟,لا يمكن الجزم؛ دعوى التعويض تسقط بثلاث سنوات من تاريخ العلم بالضرر وبالمسؤول، وتسقط في كل حال بخمس عشرة سنة من تاريخ الفعل.,مادة 172
10,عميل عندي بيقول إن مبنى الجار وقع وسبب له ضرر. مين المسؤول قانونًا؟,حارس البناء مسؤول عن الضرر الناتج عن انهياره، ولو لم يكن مالكًا، إلا إذا أثبت أن الانهيار لا يرجع لإهمال في الصيانة أو قدم أو عيب.,مادة 177
11,آلة ميكانيكية عند شركة سببت ضرر لموكلي. هل الشركة مسؤولة؟,حارس الأشياء التي تتطلب عناية خاصة أو الآلات الميكانيكية يكون مسؤولًا عما تحدثه من ضرر، إلا إذا أثبت سببًا أجنبيًا.,مادة 178
